l_id,longitude,latitude
125,-87.653915,41.934746
126,-87.653282,41.956863
127,-87.715233,41.937557
128,-87.710709,41.982792
129,-87.710709,41.982792
130,-87.66214,41.896168
131,-87.753822,41.959404
132,-87.743835,41.965402
133,-87.671822,41.906448
134,-87.707103,41.929656
135,-87.754921,41.938824
136,-87.629906,41.900871
137,-87.6247,41.892005
138,-87.684296,41.962589
139,-87.707291,41.92968
140,-87.623329,41.890347
141,-87.649055,41.944805
142,-87.65343,41.913723
143,-87.650002,41.919998
144,-87.620003,41.889999
145,-87.66,41.97901
146,-87.67235,41.85588
147,-87.62963,41.905604
148,-87.62869,41.904068
149,-87.715735,41.990358
150,-87.733925,41.963833
151,-87.751447,41.931389
152,-87.645599,41.933708
153,-87.624504,41.883209
154,-87.665253,41.896099
155,-87.785692,41.928092
156,-87.632519,41.889183
157,-87.668207,41.857962
158,-87.627599,41.914828
159,-87.646675,41.918797
160,-87.691238,41.924568
161,-87.66658,41.925117
162,-87.678894,41.947388
163,-87.685348,41.840966
164,-87.663609,41.949668
165,-87.670243,41.993359
166,-87.629485,41.892443
167,-87.748982,41.954396
168,-87.713474,41.909758
169,-87.644951,41.932866
170,-87.638042,41.889909
171,-87.752602,41.953255
172,-87.635015,41.910672
173,-87.629871,41.884827
174,-87.62569,41.861664
175,-87.595805,41.787715
176,-87.62793,41.884914
177,-87.650125,41.926398
178,-87.70836,41.92967
179,-87.671722,41.906898
180,-87.643715,41.950962
181,-87.617106,41.896862
182,-87.6399,41.84269
183,-87.669243,41.95237
184,-87.677376,41.911339
185,-87.65701,41.878292
186,-87.66568,41.998055
187,-87.617401,41.896626
188,-87.661186,41.857548
189,-87.627525,41.900089
190,-87.672981,41.856071
191,-87.692429,41.919979
192,-87.637825,41.894024
193,-87.623268,41.880829
194,-87.664017,41.946896
195,-87.624474,41.892765
196,-87.672981,41.856071
197,-87.637253,41.96434
198,-87.64975,41.926056
199,-87.685905,41.964264
200,-87.619255,41.866455
201,-87.618912,41.891026
202,-87.645515,41.933628
203,-87.620003,41.889999
204,-87.688011,41.930153
205,-87.624275,41.892544
206,-87.586502,41.803768
207,-87.631638,41.867462
208,-87.666918,41.886321
209,-87.6685,41.912437
210,-87.75,41.939999
211,-87.62418,41.89765
212,-87.742126,41.772221
213,-87.620768,41.880858
214,-87.59453,41.79126
215,-117.924302,33.870394
216,-87.659691,41.968742
217,-87.654942,41.929552
218,-87.649522,41.926288
219,-87.660441,41.997575
220,-87.67021,41.925117
221,-87.676107,41.953885
222,-87.640442,41.924899
223,-87.713539,41.95014
224,-87.65359,41.944466
225,-87.72714,41.968524
226,-87.66896,41.975929
227,-87.687622,41.938129
228,-87.63006,41.893504
229,-87.682533,41.896087
230,-87.644356,41.939461
231,-87.749811,41.953283
232,-87.66837,41.97722
233,-87.705549,41.944605
234,-87.655479,41.962788
235,-87.626038,41.869114
236,-87.712904,41.924366
237,-87.650417,41.887059
238,-87.635404,41.896848
239,-87.692666,41.920823
240,-87.673529,41.961763
241,-87.62764,41.876289
242,-87.689308,41.968014
243,-87.569161,41.775004
244,-87.637757,41.896032
245,-87.668311,41.979202
246,-87.656347,41.983758
247,-87.716358,41.939483
248,-87.624361,41.88446
249,-87.653801,41.939537
250,-87.713539,41.95014
251,-87.629704,41.893503
252,-87.68696,41.916665
253,-87.712953,41.923484
254,-87.66638,41.90336
255,-87.688014,41.930152
256,-87.625192,41.383309
257,-87.676015,42.018883
258,-87.676116,41.93938
259,-87.651957,41.886752
260,-87.665035,42.007931
261,-87.697741,41.923185
262,-87.624958,41.883856
263,-87.716354,41.939484
264,-87.676109,41.939327
265,-87.646294,41.856422
266,-87.667946,41.979583
267,-87.624241,41.882836
268,-87.683044,41.910309
269,-87.705635,41.928032
270,-87.663527,41.869299
271,-87.659782,41.939564
272,-87.749031,41.954353
273,-87.747406,41.953461
